OBJECTID,GR,Nome_Estado,Codigo_Municipio,Nome_municipio,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
4417,Sudeste,São Paulo,3546900,Santa Lúcia,8817,0,0,0,0,0.0134409406953182,0.6600567016595
4418,Sul,Paraná,4123824,Santa Lúcia,3813,0,0,0,0,0.0104828055029884,0.66559613941404
4419,Nordeste,Piauí,2209302,Santa Luz,5860,0,0,0,0,0.0975883269036615,1.78697288744665
4420,Nordeste,Maranhão,2110005,Santa Luzia,72667,0,0,0,0,0.394045048355409,3.71008264673059
4421,Nordeste,Paraíba,2513406,Santa Luzia,15382,0,0,0,0,0.0372868220304099,1.05084124750399
4422,Nordeste,Bahia,2928059,Santa Luzia,12597,0,0,0,0,0.0577433204979911,1.75641113220506
4423,Sudeste,Minas Gerais,3157807,Santa Luzia,219134,0,0,0,0,0.0202597744334412,1.19733296556912
4424,Norte,Rondônia,1100296,Santa Luzia D'Oeste,6495,0,0,0,0,0.0994362482434781,1.79146445868061
4425,Nordeste,Sergipe,2806305,Santa Luzia do Itanhy,14035,0,0,0,0,0.0269385148495189,1.01163591262008
4426,Nordeste,Alagoas,2707909,Santa Luzia do Norte,7296,0,0,0,0,0.00237687222048066,0.230161300160855
4427,Norte,Pará,1506559,Santa Luzia do Pará,19848,0,0,0,0,0.110218303391559,2.72159555253471
4428,Nordeste,Maranhão,2110039,Santa Luzia do Paruá,25254,0,0,0,0,0.0821731895258253,1.33801283498682
4429,Sudeste,Minas Gerais,3157906,Santa Margarida,16208,0,0,0,0,0.0221338723471263,0.815352915424222
4430,Sul,Rio Grande do Sul,4316972,Santa Margarida do Sul,2562,0,0,0,0,0.0896462949101533,1.79338690978764
4431,Nordeste,Rio Grande do Norte,2409332,Santa Maria,5551,0,0,0,0,0.0179272873394467,0.585771798615683
4432,Sul,Rio Grande do Sul,4316907,Santa Maria,282123,96,34.0277113174041,14,4.96237456712143,0.166234252865024,2.77827330707797
4433,Nordeste,Pernambuco,2612604,Santa Maria da Boa Vista,41931,0,0,0,0,0.246504283745338,2.53484321593141
4434,Sudeste,São Paulo,3547007,Santa Maria da Serra,6173,0,0,0,0,0.0221806771771753,1.10301176872099
4435,Nordeste,Bahia,2928109,Santa Maria da Vitória,39845,0,0,0,0,0.165530081761347,2.41305966276126
4436,Norte,Pará,1506583,Santa Maria das Barreiras,21449,0,0,0,0,0.848604268509121,5.73372886092615
4437,Sudeste,Minas Gerais,3158003,Santa Maria de Itabira,10847,0,0,0,0,0.051393238800074,1.54890203130079
4438,Sudeste,Espírito Santo,3204559,Santa Maria de Jetibá,40431,0,0,0,0,0.0634990584962907,1.85248514232197
4439,Nordeste,Pernambuco,2612703,Santa Maria do Cambucá,14137,0,0,0,0,0.00755465511056741,0.391840908799214
4440,Sul,Rio Grande do Sul,4316956,Santa Maria do Herval,6331,0,0,0,0,0.0129948211359761,0.648494862469706
4441,Sul,Paraná,4123857,Santa Maria do Oeste,9615,0,0,0,0,0.075701752496002,2.61657905683421
4442,Norte,Pará,1506609,Santa Maria do Pará,24861,0,0,0,0,0.0371963304041785,0.835994095191367
4443,Sudeste,Minas Gerais,3158102,Santa Maria do Salto,5232,0,0,0,0,0.0372562406839734,0.959188390369038
4444,Sudeste,Minas Gerais,3158201,Santa Maria do Suaçuí,14615,0,0,0,0,0.0533159286952696,1.85798439277701
4445,Norte,Tocantins,1718881,Santa Maria do Tocantins,3434,0,0,0,0,0.115921958728592,2.45688685164697
4446,Sudeste,Rio de Janeiro,3304607,Santa Maria Madalena,10404,0,0,0,0,0.0709521669183459,1.76393906034577
