OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
274,1701101,Norte,Tocantins,Aparecida do Rio Negro,4795,1,1,20.8550573514077,20.8550573514077,1203942990.30518,196930.626416914
275,5001003,Centro-Oeste,Mato Grosso do Sul,Aparecida do Taboado,25745,22,22,85.4534861138085,85.4534861138085,3133571224.94531,243845.630582296
276,3300159,Sudeste,Rio de Janeiro,Aperibé,11759,19,19,161.578365507271,161.578365507271,109978219.595703,53136.7548197753
277,3200508,Sudeste,Espírito Santo,Apiacá,7567,7,7,92.5069380203515,92.5069380203515,223897097.112305,101495.40502799
278,5100805,Centro-Oeste,Mato Grosso,Apiacás,10133,9,9,88.8187111418139,88.8187111418139,21111785396.5093,951365.519648716
279,3502705,Sudeste,São Paulo,Apiaí,24374,34,34,139.492902272914,139.492902272914,1180425396.71484,275661.302647256
280,2100832,Nordeste,Maranhão,Apicum-Açu,17239,8,8,46.4064040837636,46.4064040837636,492445833.268677,370391.281595921
281,4201257,Sul,Santa Catarina,Apiúna,10743,6,6,55.8503211393465,55.8503211393465,625248992.547852,136746.131245106
282,2401008,Nordeste,Rio Grande do Norte,Apodi,35845,23,23,64.1651555307574,64.1651555307574,1628769127.98047,233747.125105758
283,2901908,Nordeste,Bahia,Aporá,17731,4,4,22.5593593141955,22.5593593141955,503021294.108887,142222.683968422
284,5201504,Centro-Oeste,Goiás,Aporé,4198,10,10,238.208670795617,238.208670795617,3252229279.48926,379945.511485972
285,2901957,Nordeste,Bahia,Apuarema,7330,8,8,109.140518417462,109.140518417462,160912107.033203,97872.3487998127
286,4101408,Sul,Paraná,Apucarana,134996,203,198,150.374825920768,146.671012474444,667737034.132813,216202.413969308
287,1300144,Norte,Amazonas,Apuí,21973,20,20,91.0207982524007,91.0207982524007,55617379802.0269,1146286.16214032
288,2300903,Nordeste,Ceará,Apuiarés,14600,15,15,102.739726027397,102.739726027397,551440826.976074,125610.751764538
289,2800209,Nordeste,Sergipe,Aquidabã,21563,12,12,55.6508834577749,55.6508834577749,373671709.671875,125116.052664519
290,5001102,Centro-Oeste,Mato Grosso do Sul,Aquidauana,47871,58,52,121.1589480061,108.625263729607,19260753192.1807,1169248.30829524
291,2301000,Nordeste,Ceará,Aquiraz,80271,76,74,94.6792739594623,92.1877141184238,487152920.813354,110925.132814237
292,4201273,Sul,Santa Catarina,Arabutã,4267,7,7,164.049683618467,164.049683618467,168985447.666016,76231.5605219539
293,2500809,Nordeste,Paraíba,Araçagi,16987,12,12,70.6422558427032,70.6422558427032,236037244.313232,90843.3935891844
294,3103207,Sudeste,Minas Gerais,Araçaí,2347,2,2,85.2151682999574,85.2151682999574,211480081.460938,81653.6453021658
295,2800308,Nordeste,Sergipe,Aracaju,657013,1212,1128,184.471235728973,171.686100579441,189900696.87793,89499.6712239896
296,3502754,Sudeste,São Paulo,Araçariguama,22364,32,32,143.087104274727,143.087104274727,173280294.882813,97588.0570618922
297,2902054,Nordeste,Bahia,Araçás,12177,11,11,90.3342366757001,90.3342366757001,499796153.623047,121476.552786437
298,2301109,Nordeste,Ceará,Aracati,74547,135,130,181.093806591815,174.386628569896,1244512405.38855,242910.948299568
299,2902005,Nordeste,Bahia,Aracatu,13135,11,11,83.7457175485344,83.7457175485344,1596968541.28906,272033.673695438
300,3502804,Sudeste,São Paulo,Araçatuba,197016,309,287,156.840053599708,145.6734478418,1347857360.66602,263002.423847965
301,2902104,Nordeste,Bahia,Araci,54379,46,46,84.591478328031,84.591478328031,1564011429.39502,230529.888326418
302,3103306,Sudeste,Minas Gerais,Aracitaba,2063,1,1,48.4730974309258,48.4730974309258,123506783.120117,65755.4685326318
